Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A804661,"12118 WALNUT PARK CROSSING
AUSTIN 78753
(30.39307, -97.676452)",Yes (come to the shelter),9/17/19,Dog,Cairn Terrier,Black/White,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804661
A804315,"20400 QUIET OAKS LANE MANOR78653
(30.29766, -97.494357)",No (contact for more info),9/13/19,Dog,Golden Retriever Mix,Yellow,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804315
A804371,"5106 NORTH LAMAR
AUSTIN 78756",No (contact for more info),9/13/19,Cat,Domestic Shorthair Mix,White/Gray,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804371
A804362,"18303 RIVER TIMBER DRIVE78617
(30.216938, -97.527444)",Yes (come to the shelter),9/13/19,Dog,Border Collie/Basenji,Chocolate/White,Intact Male,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804362
A782064,"MIMEBARK WAY
AUSTIN 78724",No (contact for more info),9/14/19,Dog,Flat Coat Retriever Mix,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A782064
A782065,"MIMEBARK WAY
AUSTIN 78724",No (contact for more info),9/14/19,Dog,Labrador Retriever/Pit Bull,Black,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A782065
A804373,"5106 NORTH LAMAR
AUSTIN 78756",No (contact for more info),9/13/19,Cat,Domestic Shorthair Mix,Brown Tabby,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804373
A804268,"15406 PATRICIA STREET
AUSTIN 78728
(30.451126, -97.66994)",Yes (come to the shelter),9/12/19,Dog,Miniature Poodle,White/Gray,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804268
A804370,"5106 NORTH LAMAR
AUSTIN 78756",No (contact for more info),9/13/19,Cat,Domestic Shorthair Mix,White/Gray,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804370
A804497,"607 TILLERY STREET
AUSTIN 78702
(30.25658, -97.706503)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair,White/Black,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804497
A804272,"10315 STUBBLE QUAIL DRIVE
AUSTIN 78758
(30.379889, -97.705741)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Black,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804272
A804311,"1157 BROOKSWOOD AVENUE
AUSTIN 78721
(30.267756, -97.687752)",No (contact for more info),9/13/19,Dog,Labrador Retriever,Black,Intact Male,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804311
A804593,290 AUSTIN78737,Yes (come to the shelter),9/16/19,Dog,American Bulldog Mix,White/Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A804593
A804273,"10315 STUBBLE QUAIL DRIVE
AUSTIN 78758
(30.379889, -97.705741)",Yes (come to the shelter),9/12/19,Cat,Domestic Shorthair,Black,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A804273
A804312,"4107 TRAVIS COUNTRY CIRCLE
AUSTIN 78735
(30.252531, -97.834576)",No (contact for more info),9/13/19,Dog,Border Collie Mix,Red/White,Intact Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804312
A804600,"6389 EAST US 290 HIGHWAY SERVICE ROAD
EASTBOUND AUSTIN 78723",No (contact for more info),9/16/19,Dog,Chihuahua Shorthair,Tan/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804600
A804498,"5518 ROOSEVELT AVENUE
AUSTIN 78756
(30.327128, -97.732433)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Brown Tabby,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804498
A804276,"FRIENDSHIP DRIVE
AUSTIN 78754",Yes (come to the shelter),9/12/19,Dog,German Shepherd,Black/Tan,Intact Female,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A804276
A804499,"1315 BARBARA JORDAN BOULEVARD
AUSTIN 78723
(30.305372, -97.706489)",Yes (come to the shelter),9/15/19,Dog,Australian Shepherd,Tricolor,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804499
A804559,"12246 ABBEY GLEN
AUSTIN 78753
(30.389108, -97.658159)",Yes (come to the shelter),9/15/19,Cat,Domestic Shorthair Mix,Blue Tabby/White,Unknown,1 week,http://www.petharbor.com/pet.asp?uaid=ASTN.A804559
A804318,"5508 APPLE ORCHARD LANE
AUSTIN 78744
(30.198837, -97.72864)",No (contact for more info),9/13/19,Dog,Chihuahua Shorthair Mix,Brown,Intact Female,6 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A804318
A736469,"12TH STREET
AUSTIN 78702",No (contact for more info),9/17/19,Dog,Pit Bull Mix,Brown Brindle/White,Spayed Female,11 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A736469
